,town,number_of_schools,lon,lat
1414,"NC,Murfreesboro",1,-77.099141,36.436258
1415,"NC,Shelby",1,-81.492856,35.279833
1416,"NC,Jacksonville",2,-77.39931250000001,34.7625575
1417,"NC,New Bern",1,-77.102232,35.111515999999995
1418,"NC,Thomasville",1,-80.18186800000001,35.865471
1419,"NC,Davidson",1,-80.843979,35.499767
1420,"NC,Durham",9,-78.90209477777778,35.96966155555556
1421,"NC,Greenville",2,-77.36999349999999,35.606074
1422,"NC,Tarboro",1,-77.571786,35.879867
1423,"NC,Elon",1,-79.50344,36.104147999999995
1424,"NC,Fayetteville",7,-78.91898057142858,35.081221000000006
1425,"NC,Winston-Salem",7,-80.25849085714286,36.09795757142857
1426,"NC,Boiling Springs",1,-81.668141,35.24732
1427,"NC,Dallas",2,-81.1901255,35.3101135
1428,"NC,Jamestown",1,-79.92062,35.998459999999994
1429,"NC,Weldon",1,-77.617681,36.427712
1430,"NC,Clyde",1,-82.927918,35.525905
1431,"NC,Dunn",1,-78.664393,35.307368
1432,"NC,High Point",2,-79.97911099999999,36.006237999999996
1433,"NC,Spindale",1,-81.911857,35.336728
1434,"NC,Kenansville",1,-77.977639,34.946802000000005
1435,"NC,Smithfield",1,-78.332293,35.501418
1436,"NC,Banner Elk",1,-81.87337099999999,36.162477
1437,"NC,Kinston",1,-77.57153199999999,35.234404999999995
1438,"NC,Louisburg",1,-78.29898,36.105035
1439,"NC,Mars Hill",1,-82.551827,35.82752
1440,"NC,Williamston",1,-77.094913,35.836304
1441,"NC,Spruce Pine",1,-82.016988,35.934475
1442,"NC,Marion",1,-81.96208,35.656254
1443,"NC,Raleigh",16,-78.651565,35.807726187499995
1444,"NC,Statesville",1,-80.894083,35.782814
1445,"NC,Troy",1,-79.870005,35.367107
1446,"NC,Montreat",1,-82.2976,35.646577
1447,"NC,Mount Olive",1,-78.069388,35.208166
1448,"NC,Rocky Mount",2,-77.836165,35.998244
1449,"NC,Chapel Hill",3,-79.03580833333332,35.91616533333333
1450,"NC,Winston Salem",2,-80.24596199999999,36.1111755
1451,"NC,Grantsboro",1,-76.83372,35.068397999999995
1452,"NC,Pembroke",1,-79.200347,34.688313
